Date,Open,High,Low,Close,Volume,Change,news,Open_USD/KRW,High_USD/KRW,Low_USD/KRW,Close_USD/KRW,Adj Close_USD/KRW,Volume_USD/KRW,Open_ks11,High_ks11,Low_ks11,Close_ks11,Adj Close_ks11,Volume_ks11
2021-08-17,74000.0,75100.0,74000.0,74200.0,30944847.0,-0.0026881720430107503,0.64,1164.689941,1179.030029,1164.27002,1164.5,1164.5,0.0,3169.73999,3179.48999,3134.47998,3143.090088,3143.090088,690800.0
2021-08-18,73900.0,74600.0,73100.0,73900.0,29192631.0,-0.0040431266846361336,0.29,1176.890015,1178.52002,1166.290039,1176.449951,1176.449951,0.0,3141.97998,3175.879883,3124.560059,3158.929932,3158.929932,622800.0
2021-08-19,73500.0,74400.0,73100.0,73100.0,22166298.0,-0.010825439783491153,0.43,1169.75,1177.219971,1169.640015,1169.680054,1169.680054,0.0,3140.01001,3158.0,3097.830078,3097.830078,3097.830078,655600.0
2021-08-20,73500.0,73900.0,72500.0,72700.0,22364803.0,-0.005471956224350261,0.57,1175.459961,1183.5,1170.75,1175.390015,1175.390015,0.0,3111.100098,3122.090088,3049.030029,3060.51001,3060.51001,672100.0
2021-08-23,73300.0,74000.0,73000.0,73300.0,19384648.0,0.008253094910591452,0.54,1174.530029,1176.420044,1168.790039,1174.23999,1174.23999,0.0,3086.810059,3111.810059,3064.649902,3090.209961,3090.209961,570400.0
2021-08-24,73900.0,75700.0,73900.0,75600.0,21016913.0,0.03137789904502042,0.69,1167.949951,1170.369995,1163.26001,1167.609985,1167.609985,0.0,3119.699951,3142.580078,3115.22998,3138.300049,3138.300049,586500.0
2021-08-25,76200.0,76600.0,74900.0,75700.0,22319664.0,0.001322751322751392,0.32,1163.300049,1168.359985,1162.550049,1163.469971,1163.469971,0.0,3148.129883,3161.0,3124.25,3146.810059,3146.810059,600400.0
2021-08-26,76100.0,76200.0,74600.0,74600.0,16671494.0,-0.014531043593130732,0.23,1163.319946,1171.349976,1162.780029,1163.329956,1163.329956,0.0,3151.300049,3159.370117,3121.040039,3128.530029,3128.530029,727700.0
2021-08-27,74300.0,75000.0,73800.0,74300.0,15172748.0,-0.004021447721179627,0.85,1169.680054,1173.969971,1160.209961,1170.0,1170.0,0.0,3116.290039,3143.01001,3106.969971,3133.899902,3133.899902,520700.0
2021-08-30,75400.0,75500.0,74200.0,74600.0,12686999.0,0.004037685060565233,0.55,1161.319946,1166.630005,1161.319946,1161.329956,1161.329956,0.0,3160.870117,3164.870117,3132.77002,3144.189941,3144.189941,602900.0
2021-08-31,74900.0,76700.0,74300.0,76700.0,24630370.0,0.02815013404825728,0.52,1165.52002,1166.5,1154.609985,1165.51001,1165.51001,0.0,3144.48999,3199.889893,3130.300049,3199.27002,3199.27002,660500.0
